countcancelledquery.uniquecarrier,cities,cancelledflights
9E,"Akron,Albany,Allentown,Appleton,Arlington,Asheville,Austin,Baltimore,Bangor,Baton Rouge,Bemidji,Binghamton,Birmingham,Bismarck,Boston,Burlington,Casper,Cedar Rapids,Chantilly,Charleston,Charlotte,Chattanooga,Cleveland,Columbia,Columbus,Covington,Dallas-Fort Worth,Dayton,Denver,Des Moines,Detroit,Duluth,Eau Claire,Elmira,Erie,Evansville,Fargo,Fayetteville/Springdale/Rogers,Flint,Fort Smith,Fort Wayne,Ft. Lauderdale,Ft. Myers,Grand Forks,Grand Rapids,Great Falls,Green Bay,Greensboro,Greer,Gulfport-Biloxi,Hancock,Harrisburg,Houston,Huntsville,Idaho Falls,Indianapolis,International Falls,Jackson,Jacksonville,Kalamazoo,Kalispell,Kansas City,Knoxville,La Crosse,Lansing,Lexington,Lincoln,Little Rock,Louisville,Madison,Manchester,Memphis,Minneapolis,Mobile,Moline,Montgomery,Mosinee,Myrtle Beach,NA,Nashville,New York,Newburgh,Norfolk,Oklahoma City,Omaha,Panama City,Pellston,Pensacola,Peoria,Philadelphia,Pittsburgh,Portland,Raleigh,Rapid City,Rhinelander,Richmond,Roanoke,Rochester,Saginaw,Savannah,Shreveport,Sioux City,Sioux Falls,South Bend,Springfield,St Louis,Tallahassee,Traverse City,Tulsa,Waterloo,White Plains,Wichita,Wilkes-Barre/Scranton,Windsor Locks",7935
NW,"Albany,Albuquerque,Anchorage,Arlington,Atlanta,Austin,Baltimore,Baton Rouge,Billings,Birmingham,Bismarck,Boston,Bozeman,Buffalo,Cedar Rapids,Chantilly,Charlotte,Chicago,Cleveland,Columbus,Dallas-Fort Worth,Denver,Des Moines,Detroit,Duluth,Fargo,Flint,Ft. Lauderdale,Ft. Myers,Grand Forks,Grand Rapids,Great Falls,Green Bay,Gulfport-Biloxi,Harrisburg,Honolulu,Houston,Indianapolis,Jacksonville,Kahului,Kailua/Kona,Kalamazoo,Kalispell,Kansas City,La Crosse,Lansing,Las Vegas,Little Rock,Los Angeles,Louisville,Madison,Manchester,Memphis,Miami,Milwaukee,Minneapolis,Minot,Missoula,Myrtle Beach,Nashville,New Orleans,New York,Newark,Norfolk,Oklahoma City,Omaha,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Rapid City,Richmond,Rochester,Sacramento,Saginaw,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,Santa Ana,Sarasota,Seattle,Sioux Falls,Spokane,St Louis,Syracuse,Tampa,Traverse City,Valparaiso,West Palm Beach,Windsor Locks",7809
DL,"Albuquerque,Arlington,Atlanta,Austin,Baltimore,Birmingham,Boston,Buffalo,Chantilly,Charleston,Charlotte,Chicago,Cleveland,Columbia,Columbus,Covington,Dallas-Fort Worth,Dayton,Daytona Beach,Denver,Detroit,Ft. Lauderdale,Ft. Myers,Greensboro,Greer,Gulfport-Biloxi,Honolulu,Houston,Huntsville,Indianapolis,Jackson,Jacksonville,Kansas City,Knoxville,Las Vegas,Lexington,Little Rock,Los Angeles,Louisville,Melbourne,Memphis,Miami,Milwaukee,Minneapolis,Mobile,Nashville,New Orleans,New York,Newark,Newport News,Norfolk,Oakland,Oklahoma City,Ontario,Orlando,Pensacola,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Reno,Richmond,Rochester,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,San Juan,Santa Ana,Sarasota,Savannah,Seattle,St Louis,Tallahassee,Tampa,Valparaiso,West Palm Beach,Windsor Locks",6516
B6,"Aguadilla,Austin,Boston,Buffalo,Burbank,Burlington,Chantilly,Charlotte,Chicago,Columbus,Denver,Ft. Lauderdale,Ft. Myers,Houston,Jacksonville,Las Vegas,Long Beach,Nantucket,Nashville,New Orleans,New York,Newark,Newburgh,Oakland,Ontario,Orlando,Phoenix,Pittsburgh,Ponce,Portland,Raleigh,Richmond,Rochester,Sacramento,Salt Lake City,San Diego,San Francisco,San Jose,San Juan,Sarasota,Seattle,Syracuse,Tampa,Tucson,West Palm Beach,White Plains",3710
CO,"Aguadilla,Albuquerque,Anchorage,Arlington,Atlanta,Austin,Baltimore,Baton Rouge,Birmingham,Boston,Buffalo,Chantilly,Chicago,Cleveland,Columbus,Dallas-Fort Worth,Daytona Beach,Denver,Detroit,Eagle,El Paso,Ft. Lauderdale,Ft. Myers,Honolulu,Houston,Jacksonville,Kansas City,Las Vegas,Los Angeles,McAllen,Miami,Minneapolis,Myrtle Beach,New Orleans,New York,Newark,Oklahoma City,Orlando,Philadelphia,Phoenix,Pittsburgh,Ponce,Portland,Providence,Raleigh,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,San Juan,Santa Ana,Sarasota,Seattle,Tampa,Tucson,Tulsa,West Palm Beach",2946
FL,"Akron,Arlington,Atlanta,Baltimore,Bloomington,Boston,Buffalo,Chantilly,Charleston,Charlotte,Chicago,Dallas-Fort Worth,Dayton,Daytona Beach,Denver,Detroit,Flint,Ft. Lauderdale,Ft. Myers,Gulfport-Biloxi,Houston,Indianapolis,Jacksonville,Kansas City,Las Vegas,Memphis,Miami,Milwaukee,Minneapolis,Moline,New Orleans,New York,Newark,Newburgh,Newport News,Orlando,Pensacola,Philadelphia,Pittsburgh,Portland,Raleigh,Richmond,Rochester,San Diego,Sarasota,Savannah,Seattle,St Louis,Tampa,West Palm Beach,White Plains,Wichita",2599
AS,"Adak,Anchorage,Arlington,Barrow,Bethel,Boise,Boston,Burbank,Chicago,Cordova,Dallas-Fort Worth,Deadhorse,Denver,Dillingham,Fairbanks,Gustavus,Juneau,Ketchikan,King Salmon,Kodiak,Kotzebue,Las Vegas,Long Beach,Los Angeles,Newark,Nome,Oakland,Ontario,Orlando,Palm Springs,Petersburg,Phoenix,Portland,Reno,Sacramento,San Diego,San Francisco,San Jose,Santa Ana,Seattle,Sitka,Spokane,Wrangell,Yakutat",2563
F9,"Akron,Albuquerque,Atlanta,Austin,Chicago,Dallas-Fort Worth,Denver,Fresno,Houston,Indianapolis,Jacksonville,Kansas City,Las Vegas,Los Angeles,Milwaukee,Minneapolis,New York,Oklahoma City,Omaha,Orlando,Phoenix,San Antonio,San Diego,San Francisco,Santa Ana,St Louis,Tulsa",391
AQ,"Hilo,Honolulu,Kahului,Kailua/Kona,Lihue,Oakland,Reno,Sacramento,San Diego,Santa Ana",388
HA,"Hilo,Honolulu,Kahului,Kailua/Kona,Lihue",237
